PLU ID,PLU Code,Food ID
720,4322,110
721,4324,110
722,4325,110
723,4326,110
724,4327,110
725,4329,110
726,4330,110
727,4331,110
728,4332,110
729,4333,110
730,4334,110
731,4335,110
732,4336,110
733,4337,110
734,4338,110
735,4339,110
736,4340,110
737,4341,110
738,4342,110
739,4343,110
740,4344,110
741,4345,110
742,4346,110
743,4347,110
744,4348,110
745,4349,110
746,4350,110
747,4351,110
748,4352,110
749,4353,110
750,4354,110
751,4355,110
752,4356,110
753,4357,110
754,4358,110
755,4359,110
756,4360,110
757,4361,110
758,4362,110
759,4363,110
760,4364,110
761,4365,110
762,4366,110
763,4367,110
764,4368,110
765,4369,110
766,4370,110
767,4371,110
768,4372,110
769,4373,110
770,4374,110
771,4375,110
772,4376,110
773,3475,111
774,4896,111
775,4929,112
776,3102,113
777,3103,113
778,3404,113
779,3405,113
780,3406,113
781,3407,113
782,3408,113
783,3409,113
784,3410,113
785,3411,113
786,4085,113
787,4645,113
788,4646,113
789,4647,113
790,4648,113
791,4649,113
792,4650,113
793,4651,113
794,4652,113
795,4653,113
796,4654,113
797,3275,114
798,3276,114
799,4818,114
800,3035,115
801,3369,115
802,3437,115
803,3439,115
804,4035,115
805,4036,115
806,4188,115
807,4377,115
808,4378,115
809,4379,115
810,4380,115
811,4655,116
812,4656,116
813,4657,116
814,3162,117
815,3286,118
816,3331,118
817,3412,118
818,3493,118
819,3520,118
820,3535,118
821,4068,118
822,4082,118
823,4093,118
824,4159,118
825,4161,118
826,4163,118
827,4164,118
828,4165,118
829,4166,118
830,4658,118
831,4659,118
832,4660,118
833,4661,118
834,4662,118
835,4663,118
836,4665,118
837,4666,118
838,4667,118
839,4668,118
840,4669,118
841,4670,118
842,3476,119
843,3027,120
844,3028,120
845,3036,120
846,3107,120
847,3108,120
848,3109,120
849,3110,120
850,3153,120
851,3154,120
852,3155,120
853,3156,120
854,3309,120
855,3310,120
856,3370,120
857,3371,120
858,3372,120
859,3373,120
860,3374,120
861,4012,120
862,4013,120
863,4014,120
864,4014,120
865,4381,120
866,4382,120
867,4384,120
868,4385,120
869,4386,120
870,4387,120
871,4388,120
872,4388,120
873,4389,120
874,4390,120
875,4391,120
876,4392,120
877,4393,120
878,4897,121
879,4870,122
880,4871,122
881,4872,122
882,4873,122
883,4874,122
884,4875,122
885,4876,122
886,4877,122
887,4878,122
888,4879,122
889,4880,122
890,4881,122
891,4882,122
892,4883,122
893,4471,123
894,4472,123
895,4473,123
896,4474,123
897,4475,123
898,4476,123
899,4477,123
900,4478,123
901,4479,123
902,4480,123
903,4481,123
904,4482,123
905,4483,123
906,4484,123
907,4485,123
908,4486,123
909,4487,123
910,4488,123
911,4489,123
912,4490,123
913,4909,124
914,4910,124
915,4911,124
916,4912,124
917,4913,124
918,4914,124
919,4915,124
920,4916,124
921,4917,124
922,4918,124
923,4919,124
924,4920,124
925,4921,124
926,4922,124
927,4923,124
928,4947,125
929,4948,125
930,4949,125
931,4950,125
932,4951,125
933,4952,125
934,4953,125
935,4954,125
936,4955,125
937,4956,125
938,4500,126
939,4501,126
940,4502,126
941,4503,126
942,4504,126
943,4505,126
944,4506,126
945,4507,126
946,4508,126
947,4509,126
948,4510,126
949,4511,126
950,4512,126
951,4513,126
952,4820,126
953,4821,126
954,4822,126
955,4823,126
956,4824,126
957,4825,126
958,4826,126
959,4827,126
960,4828,126
961,4829,126
962,4830,126
963,4831,126
964,4832,126
965,4833,126
966,4834,126
967,4835,126
968,4836,126
969,4837,126
970,4838,126
971,4839,126
972,4840,126
973,4841,126
974,4842,126
975,4843,126
976,4844,126
977,4845,126
978,4846,126
979,4847,126
980,4848,126
981,4849,126
982,4850,126
983,4851,126
984,4852,126
985,4853,126
986,4854,126
987,4855,126
988,4856,126
989,4857,126
990,4858,126
991,4859,126
992,4898,127
993,3477,128
994,3111,129
995,3112,129
996,4052,129
997,4394,129
998,4395,129
999,4396,129
1000,4899,130
1001,4901,130
1002,4902,130
1003,4671,131
1004,3053,132
1005,4672,132
1006,3038,133
1007,3311,133
1008,3312,133
1009,4397,133
1010,4398,133
1011,3113,134
1012,3115,134
1013,3116,134
1014,3117,134
1015,3313,134
1016,3314,134
1017,3375,134
1018,4037,134
1019,4038,134
1020,4043,134
1021,4044,134
1022,4399,134
1023,4400,134
1024,4401,134
1025,4402,134
1026,4403,134
1027,4404,134
1028,4405,134
1029,4930,135
1030,4931,135
1031,4932,135
1032,4933,135
1033,4934,135
1034,4935,135
1035,3012,136
1036,3013,136
1037,3014,136
1038,3015,136
1039,3016,136
1040,3017,136
1041,3018,136
1042,3019,136
1043,3020,136
1044,3021,136
1045,3022,136
1046,3023,136
1047,3024,136
1048,3025,136
1049,3026,136
1050,3118,136
1051,3316,136
1052,3317,136
1053,3318,136
1054,3376,136
1055,3377,136
1056,3378,136
1057,3420,136
1058,3434,136
1059,3466,136
1060,3485,136
1061,3489,136
1062,3495,136
1063,3518,136
1064,3522,136
1065,3606,136
1066,4024,136
1067,4025,136
1068,4026,136
1069,4406,136
1070,4407,136
1071,4408,136
1072,4409,136
1073,4410,136
1074,4411,136
1075,4412,136
1076,4413,136
1077,4414,136
1078,4415,136
1079,4416,136
1080,4417,136
1081,4418,136
1082,4419,136
1083,4420,136
1084,4421,136
1085,4422,136
1086,4423,136
1087,4424,136
1088,4425,136
1089,4426,136
1090,4553,136
1091,4890,136
1092,4960,136
1093,4092,137
1094,4673,137
1095,4674,137
1096,4675,137
1097,4676,137
1098,4936,138
1099,4937,138
1100,3054,139
1101,3055,139
1102,3056,139
1103,3057,139
1104,3058,139
1105,3119,139
1106,3120,139
1107,3121,139
1108,3122,139
1109,3123,139
1110,3124,139
1111,3125,139
1112,3413,139
1113,3465,139
1114,4065,139
1115,4088,139
1116,4677,139
1117,4678,139
1118,4679,139
1119,4680,139
1120,4681,139
1121,4682,139
1122,4683,139
1123,4684,139
1124,4685,139
1125,4686,139
1126,4687,139
1127,4688,139
1128,4689,139
1129,4690,139
1130,4691,139
1131,4692,139
1132,4693,139
1133,4694,139
1134,4695,139
1135,4696,139
1136,4697,139
1137,4698,139
1138,4699,139
1139,4700,139
