Label,Link,Fridge,Freezer,Pantry
"FRUIT COCKTAIL /SALAD /MIXED FRUIT, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/17226,5-7 days,1-2 months,
"FRUIT COCKTAIL /SALAD /MIXED FRUIT, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17227,,,18-24 months (best quality)
"FRUIT DRINKS OR PUNCH, SOLD IN REFRIGERATED CARTON — OPENED",https://www.stilltasty.com/Fooditems/index/17228,7-10 days,8-12 months,
"FRUIT DRINKS OR PUNCH, SOLD IN REFRIGERATED CARTON - UNOPENED",https://www.stilltasty.com/Fooditems/index/17229,1 week after date on package,8-12 months,
"FRUIT SALAD - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17230,3-5 days,,
"GOOSEBERRIES - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17280,2-3 days,10-12 months,
GRAPE JUICE - COMMERCIALLY FROZEN CONCENTRATE,https://www.stilltasty.com/Fooditems/index/17295,5-7 days after prepared for drinking,1 year (best quality),
"GRAPE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/17296,7-10 days,8-12 months,
"GRAPE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17297,,8-12 months,18-24 months (best quality)
"GRAPE JUICE, SOLD IN REFRIGERATED CONTAINER - UNOPENED",https://www.stilltasty.com/Fooditems/index/17299,1 week after date on package,8-12 months,
"GRAPE JUICE, SOLD IN REFRIGERATED CONTAINER — OPENED",https://www.stilltasty.com/Fooditems/index/17298,7-10 days,8-12 months,
"GRAPEFRUIT  SECTIONS, COMMERCIALLY CANNED OR BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/17304,5-7 days,1-2 months,
"GRAPEFRUIT  SECTIONS, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/17305,,,12-18 months
