Name,isOpened,Food_Group,Link,Fridge,Freezer,Pantry
"ICED TEA (ICE TEA), INSTANT DRY MIX, COMMERCIALLY PACKAGED — OPENED ",,Beverages,https://www.stilltasty.com/Fooditems/index/17434,,,630
"ICED TEA (ICE TEA), INSTANT DRY MIX, COMMERCIALLY PACKAGED — UNOPENED ",,Beverages,https://www.stilltasty.com/Fooditems/index/17435,,,1095
"ICED TEA (ICE TEA), READY TO DRINK, SOLD UNREFRIGERATED, COMMERCIALLY BOTTLED OR CANNED — OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/19029,8,,
"INSTANT COFFEE, COMMERCIALLY BOTTLED ",1,Beverages,https://www.stilltasty.com/Fooditems/index/16939,,,450
"INSTANT COFFEE, COMMERCIALLY BOTTLED ",0,Beverages,https://www.stilltasty.com/Fooditems/index/16940,,,630
"IRISH CREAM LIQUEUR, COMMERCIALLY BOTTLED ",1,Beverages,https://www.stilltasty.com/Fooditems/index/17436,450,,
"IRISH CREAM LIQUEUR, COMMERCIALLY BOTTLED ",0,Beverages,https://www.stilltasty.com/Fooditems/index/17437,,,730
"LIQUID BREAKFAST DRINK — CANNED, UNOPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/17583,,,180
MADEIRA ,,Beverages,https://www.stilltasty.com/Fooditems/index/17622,,,1095
MADEIRA ,,Beverages,https://www.stilltasty.com/Fooditems/index/17623,,,
"MARGARITA MIX, NON",,Beverages,https://www.stilltasty.com/Fooditems/index/17648,210,,
"MARGARITA MIX, NON",,Beverages,https://www.stilltasty.com/Fooditems/index/17649,,,450
"MARGARITAS, READY",,Beverages,https://www.stilltasty.com/Fooditems/index/17650,150,,
"MARGARITAS, READY",,Beverages,https://www.stilltasty.com/Fooditems/index/17651,,,450
"MARSALA, COMMERCIALLY BOTTLED ",1,Beverages,https://www.stilltasty.com/Fooditems/index/17661,150,,
"MARSALA, COMMERCIALLY BOTTLED ",0,Beverages,https://www.stilltasty.com/Fooditems/index/17662,,,
"MELON LIQUEUR, COMMERCIALLY BOTTLED — UNOPENED OR OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/17678,,,
"MEZCAL, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/17680,,,
"MINT LIQUEUR, COMMERCIALLY BOTTLED — UNOPENED OR OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/17703,,,
MOJITO MIX (NON,,Beverages,https://www.stilltasty.com/Fooditems/index/17714,150,,
MOJITO MIX (NON,,Beverages,https://www.stilltasty.com/Fooditems/index/17715,,,450
"ORANGE LIQUEUR, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/17838,,,
"OUZO, COMMERCIALLY BOTTLED — UNOPENED OR OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/17851,,,
"PEACH LIQUEUR, COMMERCIALLY BOTTLED — UNOPENED OR OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/17908,,,
"PEPPERMINT LIQUEUR, COMMERCIALLY BOTTLED — UNOPENED OR OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/17959,,,
PINA COLADA MIX (NON,,Beverages,https://www.stilltasty.com/Fooditems/index/17989,150,,
PINA COLADA MIX (NON,,Beverages,https://www.stilltasty.com/Fooditems/index/17990,,,450
"PORT, TAWNY OR LBV TYPES ",,Beverages,https://www.stilltasty.com/Fooditems/index/18071,60,,
"PORT, TAWNY OR LBV TYPES ",,Beverages,https://www.stilltasty.com/Fooditems/index/18072,,,1825
"PORT, VINTAGE ",,Beverages,https://www.stilltasty.com/Fooditems/index/18073,4,,
"PORT, VINTAGE ",,Beverages,https://www.stilltasty.com/Fooditems/index/18074,,,3650
"RASPBERRY LIQUEUR, COMMERCIALLY BOTTLED — UNOPENED OR OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/18154,,,
RED WINE ,,Beverages,https://www.stilltasty.com/Fooditems/index/18697,4,150,
RED WINE ,,Beverages,https://www.stilltasty.com/Fooditems/index/18698,,,1095
"REGULAR SODA / SOFT DRINKS / POP ( ALL FLAVORS, INCLUDING COLA, LEMON",,Beverages,https://www.stilltasty.com/Fooditems/index/18170,3,,
"REGULAR SODA / SOFT DRINKS / POP (INCLUDING COLA,  GINGER ALE, ROOT BEER), COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/18171,210,,210
"RICE MILK, SOLD IN UNREFRIGERATED CARTON ",1,Beverages,https://www.stilltasty.com/Fooditems/index/19078,8,,
" ICED TEA (ICE TEA), READY TO DRINK, SOLD UNREFRIGERATED, COMMERCIALLY BOTTLED OR CANNED — UNOPENED ",,Beverages,https://www.stilltasty.com/Fooditems/index/19028,,,630
"ALMOND LIQUEUR, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/16340,,,
"ALMOND MILK, SOLD IN REFRIGERATED CARTON ",1,Beverages,https://www.stilltasty.com/Fooditems/index/19066,8,,
"ALMOND MILK, SOLD IN REFRIGERATED CARTON ",0,Beverages,https://www.stilltasty.com/Fooditems/index/19067,7,,
