Label,Link,Fridge,Freezer,Pantry
"COD - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16926,1-2 days,6-8 months,
"COD — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/16927,,10-12 months (best quality),
"CRAB — FRESH, COOKED, STILL IN THE SHELL",https://www.stilltasty.com/Fooditems/index/16983,3-5 days,3 months,
"CRAB - FRESH, RAW, LIVE",https://www.stilltasty.com/Fooditems/index/16984,1-2 days,,
CRAB CAKES - PURCHASED COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/19099,,6-8 months (best quality),
"CRAB MEAT — FRESH, RAW, OUT OF THE SHELL",https://www.stilltasty.com/Fooditems/index/16986,1-2 days,3-4 months,
"CRAB MEAT - FRESH, COOKED, OUT OF THE SHELL",https://www.stilltasty.com/Fooditems/index/16985,3-5 days,3 months,
CRAB MEAT / CRAB LEGS / CRAB CLAWS  — PURCHASED COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16987,,4-6 months (best quality),
"CRAB MEAT, COMMERCIALLY CANNED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/16988,3-4 days,3 months,
"CRAB MEAT, COMMERCIALLY CANNED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16989,,,3-5 years
"CRAB MEAT, PASTEURIZED, COMMERCIALLY CANNED OR PACKED IN AIRTIGHT PLASTIC CONTAINERS, SOLD REFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/16992,2-3 days,3 months,
"CRAB MEAT, PASTEURIZED, COMMERCIALLY CANNED OR PACKED IN AIRTIGHT PLASTIC CONTAINERS, SOLD REFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16993,"1 month after ""sell by"" date",3 months,
"CRAYFISH (CRAWFISH) - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17011,3-4 days,3 months,
"CRAYFISH (CRAWFISH) - FRESH, RAW, LIVE",https://www.stilltasty.com/Fooditems/index/17012,1-2 days,,
CREAM OF SHRIMP SOUP — HOMEMADE,https://www.stilltasty.com/Fooditems/index/17040,3-4 days,4-6 months,
"CREAM OF SHRIMP SOUP, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/17041,3-4 days,4-6 months,
"CREAM OF SHRIMP SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17042,,,3-5 years (best quality)
ESCARGOTS — PURCHASED COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/17157,,4-6 months (best quality),
"ESCARGOTS, COMMERCIALLY CANNED — OPENED",https://www.stilltasty.com/Fooditems/index/17158,2-3 days,3 months,
"ESCARGOTS, COMMERCIALLY CANNED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17159,,,1 year
"FISH  CHOWDER, COMMERCIALLY CANNED OR BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/17190,3-4 days,4-6 months,
"FISH  CHOWDER, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/17191,,,2-5 years
FISH CHOWDER - HOMEMADE,https://www.stilltasty.com/Fooditems/index/17192,3-4 days,4-6 months,
"FISH STICKS, BREADED — PURCHASED COMMERCIALLY FROZEN",https://www.stilltasty.com/Fooditems/index/17194,,18 months (best quality),
FISH STOCK OR BROTH - HOMEMADE ,https://www.stilltasty.com/Fooditems/index/17195,3-4 days,4-6 months,
"FISH STOCK OR BROTH, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/17196,4-5 days,4-6 months,
"FISH STOCK OR BROTH, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17197,,,3-5 years (best quality)
"FLOUNDER - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17198,3-4 days,2-3 months,
"FLOUNDER - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17199,1-2 days,6-8 months,
"FLOUNDER — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/17200,,10-12 months (best quality),
"FROG LEGS — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17216,1-2 days,2-3 months,
"FROG LEGS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17217,1 day,2-3 months,
"FROG LEGS — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/17218,,7-9 months (best quality),
FROZEN SEAFOOD DINNERS/ ENTREES — PURCHASED COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/17222,,6-9 months (best quality),
"GEFILTE FISH, COMMERCIALLY BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/17246,3-5 days,2-3 months,
"GEFILTE FISH, COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/17247,,,4 years
"GROUPER — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17343,3-4 days,2-3 months,
"GROUPER - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17344,1-2 days,6-8 months,
"GROUPER — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/17345,,10-12 months (best quality),
"HADDOCK - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17370,1-2 days,6-8 months,
"HADDOCK — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/17371,,10-12 months,
"HADDOCK - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17369,3-4 days,2-3 months,
"HALIBUT - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17372,3-4 days,2-3 months,
"HALIBUT - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17373,1-2 days,6-8 months,
"HALIBUT — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/17374,,10-12 months,
IMITATION CRAB MEAT — PURCHASED COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16990,,10-12 months (best quality),
IMITATION CRAB MEAT — SOLD REFRIGERATED,https://www.stilltasty.com/Fooditems/index/16991,2 weeks,9 months,
"LOBSTER — FRESH, COOKED, STILL IN THE SHELL",https://www.stilltasty.com/Fooditems/index/17594,2 days,3 months,
"LOBSTER - FRESH, LIVE",https://www.stilltasty.com/Fooditems/index/17595,1-2 days,,
"LOBSTER - FRESH, COOKED, SHELL REMOVED",https://www.stilltasty.com/Fooditems/index/17593,3-4 days,3 months,
"LOBSTER MEAT, COMMERCIALLY CANNED OR VACUUM-PACKED - PURCHASED FROZEN",https://www.stilltasty.com/Fooditems/index/17596,,4-6 months (best quality),
"LOBSTER TAILS — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17597,1-2 days,6 months,
"LOBSTER TAILS, RAW — PURCHASED COMMERCIALLY FROZEN",https://www.stilltasty.com/Fooditems/index/17598,,6-8 months (best quality),
LOX - SLICED AT GROCERY FISH COUNTER,https://www.stilltasty.com/Fooditems/index/17603,5-8 days,2 months,
"LOX, COMMERCIALLY VACUUM-PACKAGED — OPENED",https://www.stilltasty.com/Fooditems/index/17604,1 week,2-3 months,
"LOX, COMMERCIALLY VACUUM-PACKAGED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17605,2-3 weeks or date on package,2-3 months,
"MACKEREL — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17617,3-4 days,2-3 months,
"MACKEREL - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17618,1-2 days,2-3 months,
"MACKEREL — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/17619,,7-9 months,
"MACKEREL, COMMERCIALLY CANNED — OPENED",https://www.stilltasty.com/Fooditems/index/17620,3-4 days,3 months,
"MACKEREL, COMMERCIALLY CANNED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17621,,,3-5 years (best quality)
"MAHI-MAHI — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17624,3-4 days,2-3 months,
"MAHI-MAHI - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17625,1-2 days,6-8 months,
"MAHI-MAHI — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/17626,,10-12 months (best quality),
"MONKFISH — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17717,3-4 days,2-3 months,
"MONKFISH - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17718,1-2 days,6-8 months,
"MONKFISH — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/17719,,10-12 months (best quality),
"MULLET — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17742,3-4 days,2-3 months,
"MULLET - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17743,1-2 days,2-3 months,
"MUSSELS - FRESH, SHUCKED",https://www.stilltasty.com/Fooditems/index/17759,1-2 days,3-4 months,
"MUSSELS - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17757,3-4 days,3 months,
"MUSSELS - FRESH, LIVE",https://www.stilltasty.com/Fooditems/index/17758,1-2 days,2-3 months,
MUSSELS - PURCHASED COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/17760,,10-12 months (best quality),
"OCTOPUS — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17788,2-3 days,2-3 months,
"OCTOPUS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17789,1-2 days,2-3 months,
"OCTOPUS — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/17790,,7-9 months (best quality),
"ORANGE ROUGHY - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17841,3-4 days,2-3 months,
"ORANGE ROUGHY - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17842,1-2 days,6-8 months,
"ORANGE ROUGHY — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/17843,,10-12 months (best quality),
"OYSTERS — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17854,3-4 days,3 months,
"OYSTERS - FRESH, LIVE",https://www.stilltasty.com/Fooditems/index/17855,1-2 days,2-3 months,
"OYSTERS — FRESH, SHUCKED",https://www.stilltasty.com/Fooditems/index/17856,1-2 days,3-4 months,
OYSTERS - PURCHASED COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/17859,,10-12 months (best quality),
"PERCH — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/17969,3-4 days,2-3 months,
"PERCH - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17970,1-2 days,4 months,
"PERCH — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/17971,,8-9 months (best quality),
"POLLOCK — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18030,3-4 days,2-3 months,
"POLLOCK - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18031,1-2 days,4 months,
"POLLOCK — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/18032,,8-9 months,
"ROCKFISH — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18195,3-4 days,2-3 months,
"ROCKFISH - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18196,1-2 days,4 months,
"SABLE / BLACK COD,  SMOKED - WHOLE FISH OR LARGE PIECES",https://www.stilltasty.com/Fooditems/index/18225,5-8 days,2 months,
"SALMON - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18244,3-4 days,2-3 months,
"SALMON - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18245,1-2 days,2-3 months,
"SALMON ROE, FRESH, COMMERCIALLY JARRED OR TINNED, SOLD REFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/18247,2-3 days,,
"SALMON ROE, FRESH, COMMERCIALLY JARRED OR TINNED, SOLD REFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/18248,3-4 weeks,,
"SALMON — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/18246,,7-9 months (best quality),
"SALMON, COMMERCIALLY CANNED OR IN VACUUM POUCH - OPENED",https://www.stilltasty.com/Fooditems/index/18249,3-4 days,3 months,
"SALMON, COMMERCIALLY CANNED OR IN VACUUM POUCH - UNOPENED",https://www.stilltasty.com/Fooditems/index/18250,,,3-5 years (best quality)
SALT COD (BACALAO) ,https://www.stilltasty.com/Fooditems/index/18260,10-12 months,,
"SARDINES, COMMERCIALLY CANNED IN OIL OR SAUCE — OPENED",https://www.stilltasty.com/Fooditems/index/18267,3-4 days,3 months,
"SARDINES, COMMERCIALLY CANNED IN OIL OR SAUCE — UNOPENED",https://www.stilltasty.com/Fooditems/index/18268,,,3-5 years (best quality)
"SCALLOPS - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18278,3-4 days,3 months,
"SCALLOPS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18279,1-2 days,3-6 months,
SCALLOPS — PURCHASED COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/18280,,10-12 months (best quality),
"SEA BASS — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18284,3-4 days,2-3 months,
"SEA BASS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18285,1-2 days,2-3 months,
"SEA BASS — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/18286,,7-9 months (best quality),
"SEA TROUT — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18288,3-4 days,2-3 months,
"SEA TROUT - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18289,1-2 days,4 months,
"SEAFOOD BISQUE (ALL TYPES, INCLUDING LOBSTER, SHRIMP, CRAB) — HOMEMADE",https://www.stilltasty.com/Fooditems/index/18291,3-4 days,4-6 months,
"SEAFOOD BISQUE (ALL TYPES, INCLUDING LOBSTER, SHRIMP, CRAB), COMMERCIALLY CANNED OR BOTTLED, ALL TYPES — OPENED",https://www.stilltasty.com/Fooditems/index/18292,3-4 days,4-6 months,
"SEAFOOD BISQUE (ALL TYPES, INCLUDING LOBSTER, SHRIMP, CRAB), COMMERCIALLY CANNED OR BOTTLED, ALL TYPES — UNOPENED",https://www.stilltasty.com/Fooditems/index/18293,,,2-5 years
"SHARK STEAK — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18305,3-4 days,2-3 months,
"SHARK STEAK - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18306,1-2 days,6-8 months,
"SHRIMP, COMMERCIALLY CANNED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/18318,3-4 days,3 months,
"SHRIMP, COMMERCIALLY CANNED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/18319,,,3-5 years (best quality)
"SHRIMP, COOKED — PURCHASED COMMERCIALLY FROZEN",https://www.stilltasty.com/Fooditems/index/18316,,10-12 months (best quality),
"SHRIMP, RAW  — PURCHASED COMMERCIALLY FROZEN",https://www.stilltasty.com/Fooditems/index/18317,,9 months (best quality),
"SHRIMP, SHELLED OR UNSHELLED - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18320,3-4 days,3 months,
"SHRIMP, SHELLED OR UNSHELLED - FRESH, RAW, SOLD REFRIGERATED",https://www.stilltasty.com/Fooditems/index/18321,1-2 days,3-6 months (best quality),
"SKATE — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18322,3-4 days,2-3 months,
"SKATE - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18323,1-2 days,6-8 months,
"SMELTS — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18325,3-4 days,2-3 months,
"SMELTS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18326,1-2 days,2-3 months,
"SMELTS — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/18327,,7-9 months,
"SMOKED HERRING FILLETS /  KIPPERS, COMMERCIALLY CANNED — OPENED",https://www.stilltasty.com/Fooditems/index/17406,3-4 days,3 months,
"SMOKED HERRING FILLETS /  KIPPERS, COMMERCIALLY CANNED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17407,,,3-5 years (best quality)
"SMOKED OYSTERS, COMMERCIALLY CANNED — OPENED",https://www.stilltasty.com/Fooditems/index/17857,3-4 days,3 months,
"SMOKED OYSTERS, COMMERCIALLY CANNED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17858,,,3-5 years (best quality)
SMOKED SALMON - SLICED AT GROCERY FISH COUNTER,https://www.stilltasty.com/Fooditems/index/18251,5-8 days,2 months,
"SMOKED SALMON, COMMERCIALLY VACUUM-PACKAGED - OPENED",https://www.stilltasty.com/Fooditems/index/18252,1 week,2-3 months,
"SMOKED SALMON, COMMERCIALLY VACUUM-PACKAGED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18253,2-3 weeks or date on package,2-3 months,
"SNAPPER — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18329,3-4 days,2-3 months,
"SNAPPER - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18330,1-2 days,6-8 months,
"SNAPPER — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/18331,,10-12 months (best quality),
"SOLE — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18334,3-4 days,2-3 months,
"SOLE - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18335,1-2 days,6-8 months,
"SOLE — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/18336,,10-12 months,
"SQUID / CALAMARI — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18400,3-4 days,3 months,
"SQUID / CALAMARI - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18401,1-2 days,3-6 months,
"STRIPED BASS — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/18428,3-4 days,2-3 months,
"STRIPED BASS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18429,1-2 days,2-3 months,
"STRIPED BASS — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/18430,,7-9 months (best quality),
"STURGEON, SMOKED — WHOLE FISH OR LARGE PIECES",https://www.stilltasty.com/Fooditems/index/18435,5-8 days,2 months,
"SUSHI — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18447,1 day,,
"ANCHOVIES, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/18769,1-2 months,3 months,
"ANCHOVIES, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16352,,,3-5 years (best quality)
"ARCTIC CHAR — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16408,3-4 days,2-3 months,
"ARCTIC CHAR - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16409,1-2 days,2-3 months,
"ARCTIC CHAR - PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/16410,,7-9 months (best quality),
"BLUEFISH — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16588,3-4 days,2-3 months,
"BLUEFISH - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16589,1-2 days,2-3 months,
"BLUEFISH — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/16590,,7-9 months,
"CALAMARI / SQUID — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/18402,,3-6 months (best quality),
"CARP — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16692,3-4 days,2-3 months,
"CARP - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16693,1-2 days,6-8 months,
"CATFISH — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16714,3-4 days,2-3 months,
"CATFISH - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16715,1-2 days,6-8 months,
"CATFISH — PURCHASED COMMERCIALLY FROZEN, RAW",https://www.stilltasty.com/Fooditems/index/16716,,10-12 months (best quality),
"CAVIAR, FRESH, COMMERCIALLY JARRED OR TINNED, SOLD REFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/16720,2-3 days,,
"CAVIAR, FRESH, COMMERCIALLY JARRED OR TINNED, SOLD REFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16721,2-4 weeks,,
"CAVIAR, PASTEURIZED (NOT FRESH), COMMERCIALLY BOTTLED OR CANNED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/16722,2-3 days,,
"CAVIAR, PASTEURIZED (NOT FRESH), COMMERCIALLY BOTTLED OR CANNED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16723,,,1 year
"CHUBS (BABY WHITEFISH), SMOKED — WHOLE FISH OR LARGE PIECES",https://www.stilltasty.com/Fooditems/index/16874,5-8 days,2 months,
CLAM CHOWDER - HOMEMADE,https://www.stilltasty.com/Fooditems/index/16889,3-4 days,4-6 months,
"CLAM CHOWDER, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/16890,3-4 days,4-6 months,
"CLAM CHOWDER, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16891,,,3-5 years (best quality)
"CLAMS — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16892,3-4 days,3 months,
"CLAMS — FRESH, RAW, SHUCKED",https://www.stilltasty.com/Fooditems/index/16894,1-2 days,3-4 months,
"CLAMS - FRESH, LIVE",https://www.stilltasty.com/Fooditems/index/16893,1-2 days,2-3 months,
