Label,Link,Fridge,Freezer,Pantry
"BLUE CHEESE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18802,,,450
"BOUILLON CUBES OR GRANULES, ALL TYPES (INCLUDING BEEF, CHICKEN, TURKEY, VEGETABLE, FISH) — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/16596,,,730
"BREAD AND BUTTER PICKLES, COMMERCIALLY JARRED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18961,365,,
"BREAD AND BUTTER PICKLES, COMMERCIALLY JARRED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/18966,,,730
"CAESAR SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18803,210,,
"CAESAR SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18804,,,450
"CAPERS, COMMERCIALLY  BOTTLED AND PACKED IN BRINE - OPENED",https://www.stilltasty.com/Fooditems/index/16679,365,,
"CAPERS, COMMERCIALLY  BOTTLED AND PACKED IN BRINE - UNOPENED",https://www.stilltasty.com/Fooditems/index/16680,,,1095
CHEESE SAUCE - HOMEMADE,https://www.stilltasty.com/Fooditems/index/18768,3,150,
"CHILI SAUCE, COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/16819,210,,30
"CHILI SAUCE, COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16820,,,450
"CHINESE MUSTARD, SOLD IN TUBE — OPENED",https://www.stilltasty.com/Fooditems/index/16841,360,,
"CHINESE MUSTARD, SOLD IN TUBE — UNOPENED",https://www.stilltasty.com/Fooditems/index/16842,,,360
"GRAVY, LAMB, COMMERCIALLY BOTTLED OR CANNED - OPENED",https://www.stilltasty.com/Fooditems/index/17324,4,60,
"GRAVY, LAMB, COMMERCIALLY BOTTLED OR CANNED - UNOPENED",https://www.stilltasty.com/Fooditems/index/17325,,,1460
"GRAVY, PORK — HOMEMADE",https://www.stilltasty.com/Fooditems/index/17326,3,60,
"GRAVY, PORK, COMMERCIALLY BOTTLED OR CANNED - OPENED",https://www.stilltasty.com/Fooditems/index/17327,4,60,
"GRAVY, PORK, COMMERCIALLY BOTTLED OR CANNED - UNOPENED",https://www.stilltasty.com/Fooditems/index/17328,,,1095
