Label,Link,Fridge,Freezer,Pantry
"CHIPOTLE PEPPERS, COMMERCIALLY  CANNED OR BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/18731,1-2 months,4-6 months,
"CHIPOTLE PEPPERS, COMMERCIALLY  CANNED OR BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18732,,,3-5 years
CHOPPED ONIONS  - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/17828,,10-12 months (best quality),
"CHOPPED ONIONS / SLICED ONIONS (INCLUDING YELLOW, WHITE, RED, SPANISH, PEARL, VIDALIA VARIETIES) - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17826,7-10 days,6-8 months,
COLESLAW - HOMEMADE OR STORE-PREPARED,https://www.stilltasty.com/Fooditems/index/16948,3-5 days,,
"COLLARD GREENS (COLLARDS) — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16950,3-5 days,10-12 months,
COLLARD GREENS (COLLARDS) - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16949,,10-12 months (best quality),
"COLLARD GREENS (COLLARDS) - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16951,4-5 days,10-12 months,
CORN  — COMMERCIALLY FROZEN ,https://www.stilltasty.com/Fooditems/index/16958,,10-12 months (best quality),
"CORN ON THE COB - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16962,3-5 days,10-12 months,
"CORN ON THE COB - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16964,1-3 days,8 months,
"CORN, COMMERCIALLY CANNED OR BOTTLED (ALL VARIETIES) — OPENED",https://www.stilltasty.com/Fooditems/index/16965,3-4 days,1-2 months,
"CORN, COMMERCIALLY CANNED OR BOTTLED (ALL VARIETIES) — UNOPENED",https://www.stilltasty.com/Fooditems/index/16966,,,3-5 years (best quality)
CREAM OF ASPARAGUS SOUP — HOMEMADE,https://www.stilltasty.com/Fooditems/index/17019,3-4 days,4-6 months,
"CREAM OF ASPARAGUS SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — OPENED ",https://www.stilltasty.com/Fooditems/index/17020,3-4 days,4-6 months,
"CREAM OF ASPARAGUS SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17021,,,3-5 years (best quality)
CREAM OF BROCCOLI SOUP — HOMEMADE,https://www.stilltasty.com/Fooditems/index/17022,3-4 days,4-6 months,
"CREAM OF BROCCOLI SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — OPENED ",https://www.stilltasty.com/Fooditems/index/17023,3-4 days,4-6 months,
"CREAM OF BROCCOLI SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17024,,,3-5 years (best quality)
CREAM OF CELERY SOUP — HOMEMADE,https://www.stilltasty.com/Fooditems/index/17025,3-4 days,4-6 months,
"CREAM OF CELERY SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — OPENED ",https://www.stilltasty.com/Fooditems/index/17026,3-4 days,4-6 months,
"ALFALFA SPROUTS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16336,2-3 days,,
ANCHO PEPPERS (DRIED POBLANOS) — WHOLE,https://www.stilltasty.com/Fooditems/index/16350,,,1 year
ARTICHOKES - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16413,,10-12 months (best quality),
"ARTICHOKES - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16414,3-5 days,10-12 months,
"ARTICHOKES - FRESH, RAW ",https://www.stilltasty.com/Fooditems/index/16415,5-7 days,10-12 months,
"ARTICHOKES, COMMERCIALLY CANNED OR BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/16416,3-4 days,1-2 months,
"ARTICHOKES, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16417,,,3-5 years (best quality)
"ARUGULA (ROCKET) — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16418,2-3 days,,
ASPARAGUS - COMMERCIALLY FROZEN ,https://www.stilltasty.com/Fooditems/index/16421,,10-12 months (best quality),
"ASPARAGUS - FRESH, COOKED ",https://www.stilltasty.com/Fooditems/index/16422,3-5 days,10-12 months,
"ASPARAGUS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16423,3-4 days,12-18 months,
"ASPARAGUS, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/16424,3-4 days,1-2 months,
"ASPARAGUS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16425,,,3-5 years (best quality)
"BABY CARROTS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/18950,2-3 weeks,12-18 months,
"BAMBOO SHOOTS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16441,5-7 days,,
"BAMBOO SHOOTS, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/16442,3-4 days,,
"BAMBOO SHOOTS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16443,,,3-5 years
"BANANA PEPPERS - FRESH, RAW, SLICED OR CHOPPED",https://www.stilltasty.com/Fooditems/index/16448,2-3 days,10-12 months,
"BANANA PEPPERS — FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16449,1 week,10-12 months,
BEAN SALAD - HOMEMADE OR STORE-PREPARED ,https://www.stilltasty.com/Fooditems/index/16463,3-5 days,,
"BEANS, SNAP, STRING OR WAX (GREEN OR YELLOW) - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16471,3-5 days,10-12 months,
"BEET GREENS — FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16513,3-5 days,10-12 months,
"BEET GREENS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16514,3-5 days,10-12 months,
"BEETS - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16515,3-5 days,10-12 months,
"BEETS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16516,2 weeks,12-18 months,
FRENCH FRIES (FRENCH FRIED POTATOES) - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/17208,,10-12 months (best quality),
"FRENCH FRIES (FRENCH FRIED POTATOES) - COOKED, LEFTOVERS",https://www.stilltasty.com/Fooditems/index/17209,3-5 days,10-12 months,
FRENCH ONION SOUP - HOMEMADE,https://www.stilltasty.com/Fooditems/index/17210,3-4 days,4-6 months,
"FRENCH ONION SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — OPENED ",https://www.stilltasty.com/Fooditems/index/17211,3-4 days,4-6 months,
"FRENCH ONION SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17212,,,3-5 years (best quality)
"FRISEE LETTUCE — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17215,3-5 days,,
"GARLIC - FRESH, RAW, CHOPPED",https://www.stilltasty.com/Fooditems/index/17236,5-7 days,10-12 months,
"GARLIC - FRESH, RAW, WHOLE BULB / HEAD",https://www.stilltasty.com/Fooditems/index/17237,,10-12 months,3-5 months
"GINGER ROOT - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17263,4-6 weeks,2-3 months,
"GRAPE LEAVES, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/17300,3-4 days,1-2 months,
"GRAPE LEAVES, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17301,,,3-5 years
"GREEN BEANS  / STRING BEANS / WAX BEANS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16472,5-7 days,12-18 months,
GREEN BEANS - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16468,,10-12 months (best quality),
"GREEN BEANS / STRING BEANS / WAX BEANS, COMMERCIALLY CANNED OR BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/16473,3-4 days,1-2 months,
"GREEN BEANS / STRING BEANS / WAX BEANS, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16474,,,3-5 years (best quality)
"GREEN ONIONS (SCALLIONS) - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17339,7-10 days,10-12 months,
"GUERO PEPPERS - FRESH, RAW, SLICED OR CHOPPED",https://www.stilltasty.com/Fooditems/index/17361,2-3 days,10-12 months,
"GUERO PEPPERS — FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17362,1 week,10-12 months,
"HABANERO PEPPERS - FRESH, RAW, SLICED OR CHOPPED",https://www.stilltasty.com/Fooditems/index/17367,2-3 days,10-12 months,
"HABANERO PEPPERS — FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17368,1 week,10-12 months,
HASH BROWNS (HASH BROWN POTATOES) - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/17394,,10-12 months (best quality),
"HEARTS OF PALM, COMMERCIALLY CANNED OR BOTTLED — OPENED ",https://www.stilltasty.com/Fooditems/index/17404,3-4 days,1-2 months,
"HEARTS OF PALM, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17405,,,3-5 years
"HORSERADISH ROOT — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17416,1-2 months,,
"JALAPENO PEPPERS - FRESH, RAW, SLICED OR CHOPPED",https://www.stilltasty.com/Fooditems/index/17445,2-3 days,10-12 months,
"ALFALFA SPROUTS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16336,2-3 days,,
ANCHO PEPPERS (DRIED POBLANOS) — WHOLE,https://www.stilltasty.com/Fooditems/index/16350,,,1 year
ARTICHOKES - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16413,,10-12 months (best quality),
"ARTICHOKES - FRESH, COOKED",https://www.stilltasty.com/Fooditems/index/16414,3-5 days,10-12 months,
"ARTICHOKES - FRESH, RAW ",https://www.stilltasty.com/Fooditems/index/16415,5-7 days,10-12 months,
